Block 8640 (size 294)
+------+-------------------------------+-------------------------------+------------+------------+-------------------------------+
|      | handle                        | display_name                  |   fs_count |   fg_count | description                   |
|------+-------------------------------+-------------------------------+------------+------------+-------------------------------|
| 2901 | ingusmat.bsky.social          | Ingus the Destroyer           |         21 |          4 | Full-stack JavaScrip          |
| 3115 | kingtheo.bsky.social          | King_Theo                     |         28 |         23 |                               |
| 1945 | megruby.bsky.social           | meg                           |         31 |         31 | Official髭男dismとちいかわが  |
|  302 | parissathena.bsky.social      | Pariss Athena                 |         25 |         13 | Founder & CEO of Bla          |
| 3125 | azimuth.bsky.social           | Stereo Azimuth                |         26 |         10 | Hi-Fi Adventurer, IT          |
|  296 | saudi.bsky.social             | Saudi’89                      |         28 |         18 | 🔍 exploring the blue         |
|  987 | rods.bsky.social              | Rods                          |         36 |         35 | Primeiro Flamenguist          |
|  682 | n1ckfg.bsky.social            | Nick Fox-Gieg                 |         25 |         10 | Experimental animato          |
| 1657 | ai7.bsky.social               | A.I                           |         27 |         17 | Tech, Music, and Day          |
| 1951 | laurapcd1.bsky.social         | Antifa Goddess                |         28 |         26 | Democratic Socialist          |
| 3116 | muhammed.bsky.social          | CamelCowboy                   |         28 |         10 | I’m just here for th          |
| 2620 | aretegriego.bsky.social       | Fisiterra … Aretegriego       |         21 |          8 | Physics, math …               |
|  307 | nicktyrone.bsky.social        | Nick Tyrone                   |         22 |          6 | Author, journalist.           |
| 3112 | im2nd2none.bsky.social        |                               |         29 |         25 | Consultant. Sneaker           |
|  981 | tashmusa.bsky.social          | Natasha Musa                  |         25 |          6 |                               |
| 3108 | alyssa.bsky.social            | Alyssa                        |         30 |         29 |                               |
| 1649 | gayvetjoe.bsky.social         | Joe                           |         26 |         23 | LGBTQIA+, Equality+E          |
| 1648 | lauraj.bsky.social            | Laura Thomas                  |         22 |          3 |                               |
| 2629 | jeremynz.bsky.social          |                               |         27 |         10 |                               |
| 2631 | billmartinn.bsky.social       | Bill Martin 🤘🏼              |         26 |          9 | Graphic Designer • C          |
| 1314 | jennb.bsky.social             | Jenn the Queen                |         32 |         33 | Car-lover, introvert          |
| 2633 | krissurtees.bsky.social       | Kris                          |         26 |          8 | Product Manager. Man          |
| 3129 | rakujax2.bsky.social          | rakuja rakuja                 |         27 |         31 | happy-go-lucky                |
| 2599 | politicalpunk.bsky.social     | Anton                         |         26 |         13 |                               |
| 3102 | moons.bsky.social             | nightwing                     |         22 |         20 | ( INTP-A ) Assertive          |
| 2580 | eternalmalice.bsky.social     | Eternal Malice Press          |         23 |         16 | Self Publisher of Da          |
| 3155 | gilbertoayala.bsky.social     |                               |         28 |         11 | Liverpool FC fan, De          |
| 1686 | toye.bsky.social              |                               |         24 |          8 |                               |
| 1929 | nut.bsky.social               | NuT                           |         25 |         25 | Cat-Lover                     |
| 3152 | gabie.bsky.social             | bê                            |         29 |         29 | she/her • 24 • pathf          |
| 1272 | pagan.bsky.social             | Rich                          |         30 |         30 | Veteran, Humanist, Q          |
| 1273 | kirchoff.org                  | Robert Kirchoff, MD           |         30 |         23 | Physician Scientist           |
|  335 | kaj.bsky.social               | Kaj                           |         26 |         27 | Just kaj this time            |
| 1274 | aroo.bsky.social              |                               |         28 |         35 |                               |
| 1930 | nadim.bsky.social             |                               |         25 |         23 |                               |
| 2581 | yingsu.bsky.social            |                               |         21 |          5 |                               |
| 2253 | vernieman.bsky.social         | Vernieman                     |         27 |         16 | Roving Creative. Con          |
|  327 | spooky23.bsky.social          | Spooky23                      |         27 |         14 | GOAT Spurs blogger,           |
| 1004 | jurgen.bsky.social            | jurgen                        |         33 |         26 | Don’t you know, I’m           |
| 2586 | sheepygreen.bsky.social       | SheepyGreen                   |         21 |          4 | Earth lover                   |
| 1678 | alexshaw.bsky.social          | Alex Shaw                     |         28 |          6 | Bestselling author o          |
| 1937 | gauwed.bsky.social            | eddie                         |         23 |          5 | Eurovision and Maste          |
| 2591 | cashius.bsky.social           |                               |         24 |          7 |                               |
| 2592 | yun.bsky.social               | 雲毅哲                        |         21 |          5 | 男 • 19歲 • 🇬🇧 英國人中國國民 |
|  314 | bamby.bsky.social             | amber                         |         22 |          6 | overworked, undercaf          |
| 1671 | bolaji.bsky.social            | Bolaji                        |         27 |          7 | Living the life               |
| 2634 | paek.bsky.social              | Olivia ☀️                      |         25 |         11 | Designer, mom, & tra          |
|  270 | naseemmalik.bsky.social       | Naseem Malik                  |         23 |          5 | Recovering supply ch          |
| 1994 | izjd4r.bsky.social            | Izjd4r                        |         26 |          6 | Bigger than Satan             |
|  725 | svethlane.bsky.social         | Svethlane 👾🎮                |         25 |         14 | I make music and tal          |
| 3072 | apouros.bsky.social           | Andreas Pouros                |         28 |         27 | Founder of multiple           |
| 2674 | hayinfl.bsky.social           | Hay                           |         27 |         13 | I love flamingos 🦩           |
|  225 | versus.bsky.social            |                               |         24 |         23 | Tecnología - Music -          |
| 1343 | amaranthhalo.bsky.social      |                               |         27 |         21 | Random thoughts and           |
| 2212 | davelomax.bsky.social         | DAVIDLOMAX                    |         25 |          8 | That guy that says t          |
|  718 | maier.bsky.social             |                               |         26 |          7 |                               |
|  719 | pepeludo.bsky.social          | Pepe Ludo                     |         29 |         15 | El mismo de twitter           |
|  217 | tamara.bsky.social            |                               |         23 |          7 |                               |
| 1349 | lebruce.bsky.social           | Lebruce                       |         26 |          6 | Futuro historiador e          |
| 2691 | dipo.bsky.social              | Dipo Ashcroft                 |         23 |         16 |                               |
| 2671 | kel.bsky.social               |                               |         24 |         12 |                               |
| 2693 | jerk.bsky.social              | Alan                          |         27 |         22 | Jerk; jokes; sadness          |
| 1357 | pearl.autocode.com            | Pearl                         |         23 |         15 | Built by @keithwhor.          |
|  948 | bertmen.bsky.social           | Jessie                        |         28 |         13 |                               |
| 2698 | emersonr.bsky.social          |                               |         21 |          3 |                               |
| 2699 | crispz.bsky.social            | crispz                        |         23 |          4 | Wearing socks & croc          |
| 3050 | abdanur.bsky.social           | Bruno                         |         21 |          5 | Psychologist, Psycho          |
|  731 | m1ngle.bsky.social            | Melissa Ingle                 |         32 |         28 | Senior Data Scientis          |
| 2703 | kinguinho.bsky.social         | Guinho                        |         23 |         14 |                               |
| 2706 | updog.bsky.social             | Not much, how about you? 🏴🌹 |         27 |         26 | Very possibly a dog.          |
| 3073 | adrianoreis.bsky.social       | Adriano Reis 📸               |         22 |          6 | Fotógrafo apaixonado          |
|  231 | juice.bsky.social             | Justin (JC)                   |         23 |         11 | Student @ UT Austin           |
| 1961 | barbatoze.bsky.social         | Sherif Adel                   |         21 |          7 | Egyptian scientist+c          |
| 2652 | danielbasman.com              | Basman                        |         26 |         12 |                               |
|  697 | myron.bsky.social             | Myron                         |         28 |         13 |                               |
|  262 | smashgirl.bsky.social         | Michelle                      |         27 |         21 | Phoenix Artist inspi          |
| 1639 | miniyo.bsky.social            | Rubén Bravo                   |         26 |         15 | Artist, actor and fu          |
|  698 | alexkarabanow.bsky.social     | Alex 🌍 🍁                    |         32 |         31 | #UniversityHealthNet          |
| 1325 | lydiamong.bsky.social         | Lydia Mong                    |         27 |          6 | Learning junkie. Boo          |
| 3089 | syaoran.bsky.social           | Thiago Péres                  |         22 |          5 | traduzo e diagramo /          |
| 2649 | gregc.bsky.social             | Greg                          |         27 |          8 | Proud dad and now gr          |
|  254 | alprazoxande.bsky.social      | Alê, O Xande                  |         25 |         11 | Former 90’s kid Futu          |
| 1966 | shoishto.bsky.social          | Sho Ishto                     |         32 |         33 |                               |
| 2653 | jordanwelty.bsky.social       | Jordan Welty                  |         25 |         12 | Student and Fellow |          |
| 2670 | eoghanhoman.bsky.social       |                               |         22 |         13 |                               |
|  704 | jaimekay.bsky.social          | Jam They/Them                 |         27 |         14 | Non-binary. Bipolar.          |
| 2656 | chiteira.bsky.social          | Julia                         |         31 |         16 | civil engineer and v          |
|  245 | sousaleonardo.bsky.social     |                               |         21 |          4 |                               |
|  707 | jefffountain.bsky.social      | Jeff Fountain                 |         25 |          7 | Riverboat gambler             |
| 1625 | ryleesnet.bsky.social         | ryleesnet                     |         28 |         25 | Computer enthusiast!          |
| 3077 | morcheba.bsky.social          | dAVo                          |         27 |         21 | don’t believe everyt          |
| 2665 | ford.bsky.social              | Red                           |         21 |          6 | Live, Laugh, Toaster          |
| 3075 | priestroyal.bsky.social       | Adewumi                       |         24 |         12 | Consumer of knowledg          |
| 2669 | awwpeaches.bsky.social        | Adam Temple                   |         24 |         16 | Proud husband/dad. F          |
| 2570 | rohanwinehouse.bsky.social    | Rohan Winehouse               |         25 |         15 | Dog dad - Progressiv          |
| 2569 | mikepickus.bsky.social        | SPCRAFT                       |         23 |          7 | Don’t cling to a mis          |
| 3424 | mansurruzgardelen.bsky.social |                               |         29 |         26 | Gülüş tasarımı.               |
| 1868 | pinkglitt3r.bsky.social       |                               |         24 |          9 |                               |
| 3260 | cryptostonks.bsky.social      | Cryptostonks                  |         23 |          7 | Every time someone s          |
| 2344 | veryscott.bsky.social         | Scott Troudt                  |         22 |          3 |                               |
+------+-------------------------------+-------------------------------+------------+------------+-------------------------------+


Block 7048 (size 280)
+-------+----------------------------+------------------------+------------+------------+---------------------------+
|       | handle                     | display_name           |   fs_count |   fg_count | description               |
|-------+----------------------------+------------------------+------------+------------+---------------------------|
| 11046 | regetable.bsky.social      |                        |         23 |          4 |                           |
| 11049 | liza.bsky.social           |                        |         23 |          7 |                           |
|  8251 | lonerangerco.bsky.social   | Lone Ranger Co         |         25 |         11 |                           |
|  8252 | andreackermann.bsky.social | André Ackermann        |         23 |         10 |                           |
| 11050 | jamison.bsky.social        |                        |         22 |          3 |                           |
| 11040 | ether.bsky.social          |                        |         25 |         18 |                           |
|  7709 | baiavieira.bsky.social     | Basilio Vieira         |         24 |          4 | Information Security      |
|  7728 | vitordomingos.bsky.social  | VD                     |         25 |          4 | ruthless mercenary w      |
| 10887 | sdupre.bsky.social         | S Dupré                |         24 |          7 | 🐶🎸📷👶🏽Stevendupre.com |
| 10893 | nelmur.bsky.social         | Nelson                 |         25 |         10 | Creative @ TIDAL          |
|  8375 | rmelick.bsky.social        | Richard Melick         |         21 |          4 | Sr Director of Produ      |
|  8264 | danverzone.bsky.social     | Brent Fisher           |         24 |          7 | Writer. Editor. Stor      |
| 10985 | loribezerra.bsky.social    | Lori Bezerra           |         27 |          5 | Photographer. Travel      |
|  8075 | macpena.bsky.social        |                        |         26 |         15 | Part-time Photograph      |
| 10979 | freedman.bsky.social       | Andrew E. Freedman     |         21 |          6 |                           |
| 10771 | orenbeeri.bsky.social      |                        |         27 |          9 |                           |
|  8216 | agentm.bsky.social         | Ryan Penagos           |         23 |          5 | VP & professional ta      |
| 10603 | teddy.bsky.social          |                        |         23 |          3 |                           |
| 10687 | greyhound.bsky.social      | Tetley the Greyhound   |         24 |          3 | I am a rescued greyh      |
|  8277 | olivermertz.bsky.social    | Oliver Mertz           |         28 |          6 | Writer of First Law       |
|  8360 | svpino.bsky.social         | Santiago               |         24 |          6 | I help companies bui      |
| 10828 | benhack.bsky.social        |                        |         22 |          5 |                           |
|  8057 | taha.bsky.social           |                        |         24 |          5 |                           |
| 10834 | power.bsky.social          | Power                  |         23 |          7 | The Power of …            |
|  8366 | oykusenlen.bsky.social     | Öykü Şenlen            |         26 |          3 | Senior Researcher @E      |
| 10886 | syria.bsky.social          | 🅱ahr 🅰bdUlrazzak       |         24 |          6 | Security Analyst @Ci      |
| 10885 | garrido.bsky.social        | Garrido                |         23 |          5 |                           |
| 10883 | amrit.bsky.social          | Amrit                  |         26 |          3 |                           |
| 10879 | joe.bsky.social            | Joe Gratz              |         26 |          4 | Copyright and AI law      |
| 10877 | keithington.bsky.social    |                        |         25 |          5 |                           |
| 10840 | andreloja.bsky.social      | André Loja             |         23 |          5 | Adrift in the Atlant      |
|  8364 | pan.bsky.social            |                        |         23 |          5 |                           |
| 10876 | roblittle.bsky.social      |                        |         27 |          8 |                           |
| 10843 | noam.bsky.social           |                        |         24 |          5 |                           |
| 10859 | ferrari.bsky.social        | Renan Ferrari          |         27 |         11 | Mobile Engineer at A      |
| 10858 | alexlion.bsky.social       | Alex Lion              |         26 |          5 | I make living buildi      |
| 10847 | gusper.bsky.social         | Gus Perez              |         23 |          5 |                           |
|  8045 | ski.bsky.social            | ski                    |         25 |          5 |                           |
|  8357 | garye.bsky.social          |                        |         24 |          7 |                           |
|  8343 | mikerapin.bsky.social      | mike of IRCB           |         26 |          7 | host of the I Read C      |
|  8344 | elul.bsky.social           |                        |         23 |          6 |                           |
|  8355 | pej.bsky.social            | Pejman Pour-Moezzi     |         22 |          6 |                           |
| 10865 | mobob.bsky.social          |                        |         25 |          6 |                           |
|  8352 | dacaldera.bsky.social      | Daniel Calderon Arenas |         26 |          6 | Generative Artist an      |
|  8058 | tjschmidlen.bsky.social    |                        |         23 |          5 |                           |
|  8350 | iris.bsky.social           |                        |         24 |          7 |                           |
|  8347 | patricklowery.bsky.social  |                        |         23 |          7 |                           |
| 10861 | rochaomatheus.bsky.social  | Rocha                  |         23 |          6 |                           |
|  8338 | orenb.bsky.social          | Or                     |         25 |          9 | Learn, develop, empo      |
| 10826 | joseg.bsky.social          |                        |         24 |          3 |                           |
| 10892 | ammeurer.bsky.social       |                        |         24 |          5 |                           |
| 10934 | seanhart.bsky.social       | seanhart.eth           |         25 |         10 | because knowing is f      |
|  8072 | knowtheory.bsky.social     | Ted Han                |         27 |         12 | Director of Product       |
|  8073 | honeymoon.bsky.social      | Lana Del Rey           |         30 |          5 |                           |
|  8074 | pbardea.bsky.social        |                        |         22 |          4 |                           |
| 10924 | kobaiko.bsky.social        | Yair Kivaiko           |         27 |          5 | IamGrowth.co              |
| 10929 | kostas.bsky.social         | Kostas Christidis      |         21 |          3 | kostas.net                |
| 10932 | mrghazzagh.bsky.social     | John                   |         21 |          5 | Educator, technologi      |
